1,0,0
2,0,0
2,0,0
3,0,0
4,0,0
4,0,0
5,0,0
5,0,0
6,1.8,0
6,18.9,0
9,406.3,0
19,77,0
20,26.3,0
20,0.2,0
21,0,0
21,0,0
22,0,0
22,0,0
23,0,0
0,0,0
1,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,20.6,0
8,77.5,0
19,55.8,0
20,0.6,0
21,0,0
21,0,0
22,0,0
22,0,0
23,0,0
23,0,0
1,0,0
2,0,0
4,0,0
5,0,0
7,39.1,0
11,764.6,0
12,926.1,0
13,846.2,0
15,825.6,0
16,701.2,0
17,320.2,0
17,315.9,0
18,354.3,0
18,215.3,0
21,0,0
21,0,0
22,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
4,0,0
5,0,0
5,0,0
6,0,0
6,3.1,0
8,29.4,0
9,95.6,0
10,60.1,0
11,239.9,0
11,60.5,0
12,322.9,0
14,284.6,0
15,130.4,0
15,868.5,0
16,756.5,0
16,767.6,0
17,615,0
17,29.1,0
18,100.3,0
19,79.9,0
19,52.9,0
21,0,0
22,0,0
22,0,0
0,0,0
0,0,0
2,0,0
3,0,0
5,0,0
5,0,0
6,2.5,0
8,251.7,0
8,358.9,0
9,458.4,5
20,24.6,0
20,1.6,0
21,0,0
22,0,0
23,0,0
23,0,0
0,0,0
0,0,0
1,0,0
