19,4,2,0.0,0.0,0.0
19,4,3,0.0,0.0,0.0
19,4,4,0.0,0.0,0.0
19,4,5,0.0,0.0,0.0
19,4,6,0.9,2.5,0.0
19,4,7,27.85,96.0,0.0
19,4,8,135.25,286.0,226.25
19,4,9,352.65,431.0,0.0
19,4,10,351.6,489.5,85.0
19,4,11,696.25,477.5,140.0
19,4,12,774.75,420.0,141.25
19,4,13,904.2,350.5,141.25
19,4,14,896.65,259.5,135.0
19,4,15,818.45,262.5,158.75
19,4,16,753.65,190.5,143.75
19,4,17,587.75,162.5,157.5
19,4,18,376.3,145.0,140.0
19,4,19,157.35,118.0,70.0
19,4,20,40.6,64.0,0.0
19,4,21,0.1,2.0,0.0
19,4,22,0.0,0.0,0.0
19,4,23,0.0,0.0,0.0
19,5,0,0.0,0.0,0.0
19,5,1,0.0,0.0,0.0
19,5,2,0.0,0.0,0.0
19,5,3,0.0,0.0,0.0
19,5,4,0.0,0.0,0.0
19,5,5,0.0,0.0,0.0
19,5,6,0.0,0.0,0.0
19,5,7,13.75,29.0,0.0
19,5,8,52.7,118.0,205.0
19,5,9,126.1,403.0,50.0
19,5,10,427.2,776.5,211.25
19,5,11,466.6,713.5,176.25
19,5,12,600.5,802.5,151.25
19,5,13,911.2,441.5,142.5
19,5,14,888.35,336.0,153.75
19,5,15,835.45,260.0,157.5
19,5,16,728.5,236.5,142.5
19,5,17,511.7,212.5,141.25
19,5,18,382.25,190.5,150.0
19,5,19,188.85,120.0,90.0
19,5,20,34.75,41.5,0.0
19,5,21,0.3,1.0,0.0
19,5,22,0.0,0.0,0.0
19,5,23,0.0,0.0,0.0
19,6,0,0.0,0.0,0.0
19,6,1,0.0,0.0,0.0
19,6,2,0.0,0.0,0.0
19,6,3,0.0,0.0,0.0
19,6,4,0.0,0.0,0.0
19,6,5,0.0,0.0,0.0
19,6,6,1.2,3.5,0.0
19,6,7,23.3,86.5,0.0
19,6,8,140.95,250.5,0.0
19,6,9,338.2,356.0,232.5
19,6,10,358.4,414.5,150.0
19,6,11,723.25,380.0,0.0
19,6,12,868.55,455.0,0.0
19,6,13,886.15,321.5,0.0
19,6,14,895.75,240.0,0.0
19,6,15,846.9,212.0,0.0
19,6,16,763.4,208.0,0.0
19,6,17,465.4,216.5,0.0
19,6,18,335.1,355.5,0.0
19,6,19,183.0,126.0,0.0
19,6,20,42.9,57.0,0.0
19,6,21,1.0,2.5,0.0
19,6,22,0.0,0.0,0.0
19,6,23,0.0,0.0,0.0
19,7,0,0.0,0.0,0.0
19,7,1,0.0,0.0,0.0
19,7,2,0.0,0.0,0.0
19,7,3,0.0,0.0,0.0
19,7,4,0.0,0.0,0.0
19,7,5,0.0,0.0,0.0
19,7,6,0.0,0.0,0.0
19,7,7,40.5,80.0,0.0
