5,14,0,0,0
5,14,0,30,0
5,14,1,0,0
5,14,1,30,0
5,14,2,0,0
5,14,2,30,0
5,14,3,0,0
5,14,3,30,0
5,14,4,0,0
5,14,4,30,0
5,14,5,0,0
5,14,5,30,0
5,14,6,0,2.4
5,14,6,30,17.3
5,14,7,0,29.3
5,14,7,30,39.1
5,14,8,0,242.8
5,14,8,30,252.7
5,14,9,0,423.7
5,14,9,30,438.1
5,14,10,0,278.7
5,14,10,30,681.9
5,14,11,0,764.6
5,14,11,30,863.1
5,14,12,0,874
5,14,12,30,926.1
5,14,13,0,846.2
5,14,13,30,902.4
5,14,14,0,889.1
5,14,14,30,862.3
5,14,15,0,831.5
5,14,15,30,825.6
5,14,16,0,701.2
5,14,16,30,610.6
5,14,17,0,320.2
5,14,17,30,315.9
5,14,18,0,354.3
5,14,18,30,215.3
5,14,19,0,150.7
5,14,19,30,68.2
5,14,20,0,17.6
5,14,20,30,2
5,14,21,0,0
5,14,21,30,0
5,14,22,0,0
5,14,22,30,0
5,14,23,0,0
5,14,23,30,0
5,15,0,0,0
5,15,0,30,0
5,15,1,0,0
5,15,1,30,0
5,15,2,0,0
5,15,2,30,0
5,15,3,0,0
5,15,3,30,0
5,15,4,0,0
5,15,4,30,0
5,15,5,0,0
5,15,5,30,0
5,15,6,0,0
5,15,6,30,3.1
5,15,7,0,77.9
5,15,7,30,73
5,15,8,0,20
5,15,8,30,29.4
5,15,9,0,95.2
5,15,9,30,95.6
5,15,10,0,60.1
5,15,10,30,109.5
5,15,11,0,239.9
5,15,11,30,60.5
5,15,12,0,81.9
5,15,12,30,322.9
5,15,13,0,484.7
5,15,13,30,833.8
5,15,14,0,284.6
5,15,14,30,194.1
5,15,15,0,130.4
5,15,15,30,868.5
5,15,16,0,756.5
5,15,16,30,767.6
5,15,17,0,615
5,15,17,30,29.1
5,15,18,0,100.3
5,15,18,30,165
5,15,19,0,79.9
5,15,19,30,52.9
5,15,20,0,21.8
5,15,20,30,4.5
5,15,21,0,0
5,15,21,30,0
5,15,22,0,0
5,15,22,30,0
5,15,23,0,0
5,15,23,30,0
5,21,0,0,0
5,21,0,30,0
5,21,1,0,0
5,21,1,30,0
5,21,2,0,0
5,21,2,30,0
5,21,3,0,0
5,21,3,30,0
5,21,4,0,0
5,21,4,30,0
5,21,5,0,0
5,21,5,30,0
5,21,6,0,4.9
5,21,6,30,24.8
5,21,7,0,46.5
5,21,7,30,75.7
5,21,8,0,196.9
5,21,8,30,276
5,21,9,0,367.1
5,21,9,30,461.1
5,21,10,0,199.4
5,21,10,30,642.1
5,21,11,0,714.7
5,21,11,30,784.9
5,21,12,0,827.2
5,21,12,30,847.9
5,21,13,0,895.1
5,21,13,30,303.1
5,21,14,0,897.5
5,21,14,30,840.2
5,21,15,0,832.7
5,21,15,30,756.5
5,21,16,0,686.9
5,21,16,30,572.7
5,21,17,0,558.9
5,21,17,30,446.5
5,21,18,0,218.2
5,21,18,30,248.2
5,21,19,0,152.9
