9,384.2,644.0
4,0.0,0.0
14,929.2,448.0
21,2.25,4.0
4,0.0,0.0
7,25.1,112.5
10,330.25,584.0
17,626.8,137.5
15,836.45,529.0
14,899.45,258.5
2,0.0,0.0
15,511.0,524.0
13,897.95,311.0
4,0.0,0.0
0,0.0,0.0
1,0.0,0.0
22,0.0,0.0
14,927.7,197.5
1,0.0,0.0
20,67.85,83.5
13,886.15,321.5
20,45.05,77.5
5,0.0,0.0
17,691.3,498.0
15,711.15,378.0
22,0.0,0.0
14,908.7,249.5
21,4.65,12.0
4,0.0,0.0
17,104.3,434.5
6,2.9,9.5
20,57.1,65.0
18,398.3,159.0
9,217.05,294.0
22,0.0,0.0
8,143.4,299.0
3,0.0,0.0
19,225.1,150.5
9,62.3,158.0
0,0.0,0.0
2,0.0,0.0
6,3.55,10.0
23,0.0,0.0
12,657.7,439.5
15,859.05,231.0
9,389.9,417.5
18,109.0,151.0
1,0.0,0.0
2,0.0,0.0
20,23.5,37.5
7,40.5,80.0
8,113.6,461.5
10,358.4,414.5
7,27.5,125.5
16,775.2,160.0
8,142.375,531.5
7,51.0,133.5
19,235.45,144.5
21,4.55,13.5
0,0.0,0.0
6,7.3,15.0
12,807.325,334.5
6,2.45,6.5
9,413.0,400.5
18,64.7,225.0
12,835.0,360.0
22,0.0,0.0
21,1.45,4.0
0,0.0,0.0
3,0.0,0.0
2,0.0,0.0
22,0.0,0.0
12,851.5,314.0
10,390.55,585.5
11,724.6,421.0
2,0.0,0.0
9,204.4,636.0
16,721.7,458.5
1,0.0,0.0
3,0.0,0.0
21,5.85,13.0
19,35.6,98.5
5,0.0,0.0
18,163.65,485.5
13,878.1,436.0
4,0.0,0.0
1,0.0,0.0
1,0.0,0.0
0,0.0,0.0
12,506.25,567.0
19,98.95,227.5
15,599.95,410.5
15,844.45,243.5
3,0.0,0.0
21,2.9,7.0
15,846.9,212.0
1,0.0,0.0
20,61.35,102.0
4,0.0,0.0
11,745.8,371.0
4,0.0,0.0
10,305.3,456.0
18,138.0,280.5
18,416.3,174.0
5,0.0,0.0
10,406.15,604.5
20,71.0,108.5
19,208.3,187.0
8,146.15,318.5
7,21.85,108.0
23,0.0,0.0
12,880.8,479.0
20,60.75,102.0
4,0.0,0.0
10,307.9,423.5
5,0.0,0.0
16,84.0,225.5
6,0.0,0.0
5,0.0,0.0
12,71.2,94.0
19,122.45,220.5
5,0.0,0.0
0,0.0,0.0
13,923.8,260.5
18,398.7,190.5
5,0.0,0.0
4,0.0,0.0
16,644.45,401.0
11,725.35,374.0
13,687.05,372.0
23,0.0,0.0
21,7.6,17.5
16,763.4,208.0
19,238.4,106.5
1,0.0,0.0
16,557.95,454.0
11,723.25,380.0
10,308.75,461.0
9,395.95,619.5
8,98.0,367.5
8,136.3,366.0
8,149.1,338.5
14,600.3,428.5
11,174.7,551.0
19,116.775,309.75
20,42.9,57.0
21,3.95,7.0
19,183.0,126.0
13,893.7,277.0
9,338.2,356.0
23,0.0,0.0
17,606.7,190.0
